Máquina número:, 01 
Fecha  y  hora, Temperatura, Humedad 
2022/06/06 11:02:25  ,16.80  ,59.50
0,  0.12
1,  0.14
2,  0.15
3,  1.34
4,  1.55
5,  1.73
6,  1.93
7,  2.11
8,  2.36
9,  2.29
10,  2.29
11,  2.17
12,  0.08
